kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
10976096|5431.85|53.99|4.648|0.089|0.11|0.052|1.0124107410799998|0.0478569389616|0.045613107884099995
10976930|6079.58|16.01|3.941|0.025|0.097|0.013|15.9804397969|0.659554021675|0.631218363025
10976951|5328.62|49.41|4.684|0.081|0.16|0.047|0.5353379169479999|0.026211207546200002|0.024864073772200002
10977133|6195.19|52.34|4.175|0.086|-0.009|0.05|4.95402834982|0.256413573397|0.241975994533
10977193|5044.44|33.48|4.551|0.055|0.269|0.031|0.43878262058999995|0.00735001128116|0.00723786566949
10977459|4635.41|47.55|4.665|0.078|-0.244|0.045|0.220912332023|0.010984332498299998|0.0104008083831
10977830|5972.42|29.83|4.392|0.049|-0.138|0.028|2.24661535739|0.33567817063199995|0.278760332615
10977947|5298.69|64.3|4.5|0.106|0.162|0.062|0.588964982459|0.019059215207|0.0183272923714
10978403|5526.46|44.75|3.761|0.074|0.137|0.042|12.3572543315|1.25591412549|1.09848176334
10978612|6140.09|31.27|4.321|0.051|0.084|0.029|5.93419302641|0.521117314781|0.46807743470799995
10978686|5957.1|29.09|4.061|0.048|0.19|0.027|3.8489491920699996|0.248852895015|0.231284936613
10978939|5576.29|115.35|4.421|0.19|0.194|0.112|0.816371727351|0.09746099382660002|0.0856165780407
10978999|5638.27|37.53|4.518|0.062|-0.007|0.036|0.7822670430840001|0.019817565966|0.0193942395832
10979139|5695.9|149.49|4.532|0.246|0.076|0.145|1.2203301145|0.104690899076|0.0952086638109
10979213|5449.74|44.51|4.579|0.074|-0.155|0.042|0.591025731265|0.0127025728831|0.012487246569600001
10979384|6144.86|16.03|4.066|0.026|0.109|0.015|3.51351401307|0.139125889976|0.133425492409
10979438|5495.66|24.06|4.631|0.04|0.204|0.021|0.575214699209|0.00919255162917|0.00908536916631
10979688|5890.8|21.8|4.489|0.036|-0.023|0.02|1.13843139895|0.0417885733171|0.0400164982026
10980257|4922.15|41.48|4.579|0.068|0.219|0.039|0.421308533408|0.015213421891299999|0.014589695657799998
10987364|6522.87|41.01|4.107|0.068|0.109|0.039|6.35729592515|0.44292525770400004|0.40666464383900003
10989780|6518.68|9.08|4.182|0.013|0.025|0.007|2.98428136703|0.07196115235339999|0.0704192589619
10990723|5576.42|26.58|4.246|0.044|-0.565|0.025|0.843022111102|0.024880967824400003|0.024267657166300003
10991457|5895.25|36.43|4.377|0.06|0.139|0.035|1.3020451208200001|0.07956001239919999|0.07438499467839998
10993000|6191.88|27.4|4.178|0.045|-0.191|0.026|5.25882401569|0.228655760005|0.218873080716
11014223|5670.06|37.0|4.572|0.061|0.096|0.035|0.803965382492|0.0187218561324|0.018350679536700002
11014282|6646.44|11.06|3.989|0.016|0.073|0.009|12.79369936|0.454556642409|0.43842185555200003
11017334|4443.65|50.08|4.535|0.083|-0.249|0.048|0.245492961802|0.0046576792015|0.00458906840171
11017443|5215.49|31.88|4.721|0.052|0.146|0.029|0.814812645562|0.0184517497121|0.018028424568300002
11017611|5252.29|28.43|4.678|0.047|0.012|0.027|0.44630047224299996|0.00837953461009|0.008256296448680001
11017907|5650.99|31.25|4.566|0.052|0.158|0.03|0.772232132247|0.014852646391399998|0.014622107205799999
11017985|5865.87|44.81|4.469|0.074|-0.127|0.043|1.11513535039|0.0252974134681|0.0246801945626
11018155|5735.7|22.66|4.478|0.037|0.137|0.021|0.981289568378|0.0314530384994|0.030542911112900004
11018441|5038.28|89.67|4.546|0.147|0.385|0.087|0.478079745351|0.021341830946800002|0.0203596835105
11019005|5944.64|70.98|4.468|0.117|0.057|0.068|0.8916965322220001|0.030434852174800003|0.0294986395185
11019007|6125.34|174.43|4.299|0.287|-0.031|0.169|2.24214551053|0.110095766374|0.105162455242
11019293|6357.75|32.07|4.136|0.053|0.105|0.03|4.66915979111|0.232866981348|0.220228434793
